Date Shipped,ShipFromLocation,ShipToLocation,Distance,Item,Weight,Shipment Cost,Fuel Surcharge,Tarping Charge,Line Haul Pass,Spot Quote,Stop Off Charges
4/2/23,"Philadelphia, PA","San Diego, CA",654,Underlayment Roll,289.93,944.82,52.32,50,817.5,885.26,25
1/2/24,"Baltimore, MD","Denver, CO",901,Drainage Mat,361.75,1273.33,72.08,50,1126.25,1108.69,25
3/30/24,"Tampa, FL","Denver, CO",1586,Underlayment Roll,149.89,2184.38,126.88,0,1982.5,1817.08,75
3/3/24,"Charlotte, NC","Dallas, TX",228,Drainage Mat,508.39,353.24,18.24,0,285,304.21,50
5/23/24,"Tampa, FL","Portland, OR",1336,Roofing Membrane Roll,442.27,1926.88,106.88,100,1670,1602.24,50
2/4/23,"Pittsburgh, PA","San Antonio, TX",254,Underlayment Roll,384.79,462.82,20.32,100,317.5,346.33,25
7/25/23,"Jacksonville, FL","Phoenix, AZ",1512,Underlayment Roll,319.77,2135.96,120.96,50,1890,1712.79,75
3/22/23,"Boston, MA","Detroit, MI",564,Fasteners and Plates,74.3,875.12,45.12,100,705,681.63,25
7/15/24,"Columbia, SC","Omaha, NE",2320,Underlayment Roll,242.27,3085.6,185.6,0,2900,2813.89,0
1/23/24,"Orlando, FL","Chicago, IL",1138,Roofing Membrane Roll,498.2,1613.54,91.04,50,1422.5,1411.03,50
1/2/23,"Richmond, VA","Denver, CO",1452,Insulation Board,827.64,2056.16,116.16,100,1815,1732.29,25
1/25/24,"Newark, NJ","Milwaukee, WI",1836,Underlayment Roll,130.93,2541.88,146.88,100,2295,2486.55,0
7/19/24,"Richmond, VA","Milwaukee, WI",1720,Roofing Membrane Roll,616.01,2462.6,137.6,100,2150,1972.28,75
4/16/23,"Newark, NJ","Denver, CO",1999,Drainage Mat,549.18,2808.67,159.92,100,2498.75,2651.95,50
4/21/24,"Philadelphia, PA","San Diego, CA",909,Metal Roofing Coil,2306.87,1283.97,72.72,0,1136.25,1227.91,75
12/3/24,"Philadelphia, PA","Kansas City, MO",688,Metal Roofing Coil,1954.85,990.04,55.04,0,860,889.23,75
2/6/24,"Wilmington, DE","San Diego, CA",910,Insulation Board,782.23,1210.3,72.8,0,1137.5,1064.83,0
12/30/24,"Tampa, FL","Phoenix, AZ",590,Underlayment Roll,241.96,884.7,47.2,50,737.5,681.53,50
7/9/24,"Charlotte, NC","Milwaukee, WI",1721,Underlayment Roll,189.2,2413.93,137.68,100,2151.25,2342.4,25
6/11/23,"Tampa, FL","San Diego, CA",1134,Fasteners and Plates,161.76,1633.22,90.72,100,1417.5,1366.21,25
7/21/23,"Jacksonville, FL","Phoenix, AZ",1382,Metal Roofing Coil,2251.18,1938.06,110.56,100,1727.5,1748.46,0
9/27/23,"Norfolk, VA","Salt Lake City, UT",1394,Insulation Board,530.78,1979.02,111.52,50,1742.5,1820.83,75
9/28/23,"Jacksonville, FL","Salt Lake City, UT",1572,Fasteners and Plates,135.86,2165.76,125.76,50,1965,1893.77,25
3/31/24,"Philadelphia, PA","Chicago, IL",692,Metal Roofing Coil,2164.12,995.36,55.36,50,865,930.16,25
4/6/24,"Savannah, GA","Kansas City, MO",745,Metal Roofing Coil,1817.08,1040.85,59.6,50,931.25,838.17,0
12/27/24,"Richmond, VA","Phoenix, AZ",1831,Roofing Membrane Roll,511.57,2560.23,146.48,100,2288.75,2091.93,25
9/9/23,"Hartford, CT","Omaha, NE",1157,Roofing Membrane Roll,440.28,1538.81,92.56,0,1446.25,1417.88,0
12/2/24,"Jacksonville, FL","Houston, TX",471,Insulation Board,691.91,751.43,37.68,100,588.75,576.77,25
10/23/23,"Orlando, FL","San Diego, CA",539,Metal Roofing Coil,2092.44,716.87,43.12,0,673.75,705.05,0
12/25/24,"Orlando, FL","Portland, OR",1365,Metal Roofing Coil,1877.33,1890.45,109.2,50,1706.25,1826.65,25
12/20/24,"Philadelphia, PA","Portland, OR",631,Metal Roofing Coil,1963.53,889.23,50.48,0,788.75,853.48,50
12/4/23,"Baltimore, MD","San Diego, CA",1163,Roofing Membrane Roll,471.11,1646.79,93.04,100,1453.75,1584.58,0
2/22/23,"Jacksonville, FL","St. Louis, MO",909,Fasteners and Plates,88.85,1333.97,72.72,100,1136.25,1222.4,25
8/5/23,"Boston, MA","Indianapolis, IN",1285,Metal Roofing Coil,2220.56,1759.05,102.8,0,1606.25,1763.4,50
7/7/23,"Atlanta, GA","Indianapolis, IN",1794,Metal Roofing Coil,2493.82,2386.02,143.52,0,2242.5,2309.62,0
1/15/24,"Savannah, GA","Minneapolis, MN",1589,Fasteners and Plates,174.6,2163.37,127.12,50,1986.25,1806.27,0
5/7/24,"Buffalo, NY","Salt Lake City, UT",2111,Drainage Mat,288.19,2882.63,168.88,50,2638.75,2797.48,25
2/10/23,"Hartford, CT","St. Louis, MO",1744,Roofing Membrane Roll,687.64,2419.52,139.52,100,2180,2222.41,0
6/6/23,"Boston, MA","Detroit, MI",1049,Roofing Membrane Roll,369.56,1495.17,83.92,50,1311.25,1441.41,50
1/15/23,"Philadelphia, PA","Milwaukee, WI",980,Drainage Mat,526.33,1303.4,78.4,0,1225,1234.06,0
3/6/23,"Hartford, CT","Seattle, WA",1580,Drainage Mat,557.97,2226.4,126.4,50,1975,1958.19,75
6/4/24,"Raleigh, NC","Seattle, WA",1187,Metal Roofing Coil,1985.92,1578.71,94.96,0,1483.75,1599.11,0
12/10/23,"Albany, NY","St. Louis, MO",369,Underlayment Roll,355.66,490.77,29.52,0,461.25,445.48,0
5/9/23,"Wilmington, DE","Houston, TX",1154,Metal Roofing Coil,2185.6,1634.82,92.32,50,1442.5,1416.09,50
10/9/24,"Wilmington, DE","Denver, CO",1474,Roofing Membrane Roll,302.03,1985.42,117.92,0,1842.5,1676.23,25
4/16/24,"Baltimore, MD","Des Moines, IA",1911,Metal Roofing Coil,1856.73,2541.63,152.88,0,2388.75,2577.21,0
3/4/23,"Richmond, VA","Indianapolis, IN",1524,Metal Roofing Coil,2395.84,2101.92,121.92,50,1905,1940.21,25
5/19/23,"Albany, NY","San Diego, CA",2089,Underlayment Roll,271.4,2878.37,167.12,100,2611.25,2801.61,0
5/13/24,"Providence, RI","Seattle, WA",2339,Underlayment Roll,363.59,3185.87,187.12,0,2923.75,2723.38,75
8/15/24,"Baltimore, MD","Salt Lake City, UT",562,Drainage Mat,483.35,772.46,44.96,0,702.5,730.24,25
1/27/24,"Albany, NY","Milwaukee, WI",899,Underlayment Roll,131.75,1295.67,71.92,100,1123.75,1209.52,0
11/5/24,"Raleigh, NC","Minneapolis, MN",1254,Roofing Membrane Roll,648.74,1842.82,100.32,100,1567.5,1412.36,75
2/23/24,"Raleigh, NC","San Diego, CA",1774,Insulation Board,634.05,2484.42,141.92,100,2217.5,1996.25,25
10/16/23,"Savannah, GA","Dallas, TX",2212,Drainage Mat,532.85,3041.96,176.96,100,2765,2595.3,0
1/14/24,"Buffalo, NY","Omaha, NE",1336,Insulation Board,746.77,1826.88,106.88,0,1670,1714.03,50
5/4/24,"Baltimore, MD","Los Angeles, CA",647,Fasteners and Plates,106.5,885.51,51.76,0,808.75,854.01,25
8/19/23,"Providence, RI","Milwaukee, WI",785,Metal Roofing Coil,1998.34,1094.05,62.8,0,981.25,1072.11,50
2/10/23,"Baltimore, MD","Portland, OR",1445,Roofing Membrane Roll,456.86,1996.85,115.6,0,1806.25,1662.66,75
1/28/23,"Wilmington, DE","Minneapolis, MN",683,Roofing Membrane Roll,369.5,1033.39,54.64,50,853.75,930.13,75
5/15/23,"Columbia, SC","Denver, CO",1117,Roofing Membrane Roll,583.27,1485.61,89.36,0,1396.25,1419.2,0
7/20/23,"Columbia, SC","Detroit, MI",2457,Roofing Membrane Roll,323.17,3367.81,196.56,50,3071.25,3372.32,50
2/2/23,"Orlando, FL","Portland, OR",962,Drainage Mat,587.55,1454.46,76.96,100,1202.5,1225.2,75
2/17/23,"Buffalo, NY","Des Moines, IA",1106,Drainage Mat,209.83,1520.98,88.48,0,1382.5,1333.73,50
5/17/24,"Wilmington, DE","Los Angeles, CA",769,Drainage Mat,527.51,1147.77,61.52,100,961.25,950.85,25
2/11/24,"Hartford, CT","Detroit, MI",715,Drainage Mat,387.42,950.95,57.2,0,893.75,822.64,0
7/27/24,"Norfolk, VA","Dallas, TX",1086,Insulation Board,565.45,1519.38,86.88,0,1357.5,1410.08,75
12/28/24,"Norfolk, VA","Chicago, IL",1910,Drainage Mat,535.98,2640.3,152.8,50,2387.5,2258.6,50
4/9/23,"Hartford, CT","Dallas, TX",1188,Insulation Board,609.3,1580.04,95.04,0,1485,1606.63,0
11/14/24,"Buffalo, NY","Des Moines, IA",1882,Roofing Membrane Roll,555.41,2553.06,150.56,0,2352.5,2325.35,50
12/26/24,"Raleigh, NC","Phoenix, AZ",1133,Drainage Mat,363.73,1656.89,90.64,100,1416.25,1485.88,50
6/30/24,"Pittsburgh, PA","San Antonio, TX",992,Fasteners and Plates,54.67,1444.36,79.36,50,1240,1330.36,75
9/4/24,"Pittsburgh, PA","Seattle, WA",1283,Metal Roofing Coil,2180.26,1756.39,102.64,50,1603.75,1508.71,0
4/6/24,"Jacksonville, FL","Minneapolis, MN",790,Metal Roofing Coil,2343.62,1225.7,63.2,100,987.5,1055.59,75
10/4/24,"Newark, NJ","Kansas City, MO",548,Roofing Membrane Roll,307.14,753.84,43.84,0,685,741.42,25
1/5/23,"Pittsburgh, PA","Houston, TX",726,Drainage Mat,446.66,1015.58,58.08,0,907.5,816.97,50
8/6/23,"Orlando, FL","Portland, OR",1459,Drainage Mat,250.07,1940.47,116.72,0,1823.75,1714.52,0
5/17/24,"Jacksonville, FL","Portland, OR",1213,Metal Roofing Coil,1912.58,1688.29,97.04,0,1516.25,1446.2,75
2/2/24,"Norfolk, VA","Denver, CO",1287,Drainage Mat,373.3,1711.71,102.96,0,1608.75,1496,0
1/28/24,"Charlotte, NC","Portland, OR",1543,Metal Roofing Coil,1850.71,2152.19,123.44,50,1928.75,1921.01,50
7/26/23,"Columbia, SC","Milwaukee, WI",2258,Underlayment Roll,316.57,3078.14,180.64,0,2822.5,2967.61,75
1/15/23,"Charlotte, NC","Salt Lake City, UT",1615,Roofing Membrane Roll,611.94,2322.95,129.2,100,2018.75,2010.88,75
7/7/24,"Philadelphia, PA","Detroit, MI",1895,Insulation Board,558.37,2645.35,151.6,100,2368.75,2368.22,25
4/5/24,"Philadelphia, PA","Las Vegas, NV",913,Roofing Membrane Roll,384.14,1289.29,73.04,50,1141.25,1101.64,25
11/21/24,"Richmond, VA","Chicago, IL",1968,Insulation Board,713.7,2617.44,157.44,0,2460,2254.59,0
7/28/24,"Hartford, CT","Salt Lake City, UT",1117,Underlayment Roll,123.57,1635.61,89.36,100,1396.25,1293.69,50
8/29/23,"Charlotte, NC","San Diego, CA",2369,Roofing Membrane Roll,380.34,3225.77,189.52,50,2961.25,3151.62,25
7/17/24,"Atlanta, GA","Salt Lake City, UT",1528,Metal Roofing Coil,1917.24,2182.24,122.24,100,1910,1766.45,50
4/6/23,"Atlanta, GA","Kansas City, MO",2470,Fasteners and Plates,54.74,3360.1,197.6,0,3087.5,3216.59,75
4/29/24,"Richmond, VA","Minneapolis, MN",2083,Roofing Membrane Roll,678.94,2870.39,166.64,50,2603.75,2751.34,50
2/11/24,"Norfolk, VA","Indianapolis, IN",2254,Metal Roofing Coil,2370.38,3172.82,180.32,100,2817.5,3039.98,75
8/19/23,"Tampa, FL","San Diego, CA",221,Roofing Membrane Roll,538.99,393.93,17.68,50,276.25,275.19,50
10/16/24,"Orlando, FL","Las Vegas, NV",1073,Insulation Board,710.56,1502.09,85.84,50,1341.25,1229.02,25
6/20/23,"Richmond, VA","San Diego, CA",1760,Metal Roofing Coil,2215.3,2390.8,140.8,0,2200,2250.93,50
6/24/24,"Boston, MA","Indianapolis, IN",884,Insulation Board,890.35,1225.72,70.72,0,1105,1169.02,50
2/5/23,"Pittsburgh, PA","Denver, CO",2189,Insulation Board,517.46,2961.37,175.12,50,2736.25,2820.12,0
6/8/24,"Columbia, SC","San Antonio, TX",1282,Fasteners and Plates,199.45,1855.06,102.56,100,1602.5,1468.38,50
6/9/23,"Hartford, CT","Kansas City, MO",2340,Metal Roofing Coil,2276.16,3162.2,187.2,50,2925,2650.43,0
11/29/24,"Norfolk, VA","Minneapolis, MN",1948,Roofing Membrane Roll,636.18,2765.84,155.84,100,2435,2394.05,75
8/31/23,"Albany, NY","Minneapolis, MN",715,Metal Roofing Coil,2097.85,1075.95,57.2,50,893.75,980.92,75
3/27/23,"Norfolk, VA","Des Moines, IA",807,Fasteners and Plates,131.5,1073.31,64.56,0,1008.75,996.37,0
7/31/24,"Columbia, SC","Kansas City, MO",1641,Fasteners and Plates,109.33,2282.53,131.28,50,2051.25,2114.84,50
11/12/24,"Providence, RI","San Antonio, TX",1469,Metal Roofing Coil,2214.65,1953.77,117.52,0,1836.25,1729.99,0
7/10/24,"Savannah, GA","Milwaukee, WI",2268,Roofing Membrane Roll,486.33,3141.44,181.44,100,2835,2685.19,25
7/27/24,"Pittsburgh, PA","Seattle, WA",677,Drainage Mat,486.33,1025.41,54.16,100,846.25,868.68,25
10/7/24,"Jacksonville, FL","Los Angeles, CA",574,Underlayment Roll,391.42,763.42,45.92,0,717.5,768.35,0
1/28/23,"Hartford, CT","Phoenix, AZ",1725,Insulation Board,674.87,2369.25,138,0,2156.25,2132.66,75
9/11/24,"Jacksonville, FL","Denver, CO",329,Drainage Mat,431.77,587.57,26.32,100,411.25,383.57,50
7/9/24,"Raleigh, NC","Des Moines, IA",227,Insulation Board,624.86,351.91,18.16,50,283.75,304.07,0
12/6/23,"Norfolk, VA","Detroit, MI",1647,Underlayment Roll,197.56,2240.51,131.76,0,2058.75,1950.47,50
11/27/23,"Buffalo, NY","Salt Lake City, UT",829,Insulation Board,594.42,1152.57,66.32,50,1036.25,1001.2,0
10/1/24,"Savannah, GA","Detroit, MI",1061,Underlayment Roll,201.1,1486.13,84.88,0,1326.25,1307.92,75
5/20/24,"Charlotte, NC","Phoenix, AZ",775,Fasteners and Plates,138.18,1080.75,62,50,968.75,904.35,0
12/14/23,"Savannah, GA","Houston, TX",2220,Underlayment Roll,281.66,3027.6,177.6,0,2775,2931.39,75
4/17/24,"Albany, NY","Detroit, MI",2403,Fasteners and Plates,170.85,3370.99,192.24,100,3003.75,3224.99,75
8/19/23,"Hartford, CT","Los Angeles, CA",2139,Insulation Board,715.96,2894.87,171.12,50,2673.75,2934.01,0
7/9/23,"Buffalo, NY","Phoenix, AZ",1243,Fasteners and Plates,129.68,1753.19,99.44,50,1553.75,1410.6,50
8/13/23,"Albany, NY","Des Moines, IA",1282,Drainage Mat,289.88,1755.06,102.56,0,1602.5,1475.36,50
1/20/24,"Raleigh, NC","Omaha, NE",689,Fasteners and Plates,56.24,966.37,55.12,0,861.25,857.79,50
1/12/24,"Orlando, FL","Phoenix, AZ",416,Underlayment Roll,101.48,653.28,33.28,50,520,569.2,50
10/10/23,"Tampa, FL","Houston, TX",1118,Drainage Mat,381.9,1611.94,89.44,50,1397.5,1296.78,75
9/24/24,"Baltimore, MD","Detroit, MI",507,Underlayment Roll,139.81,774.31,40.56,50,633.75,595.96,50
9/19/24,"Providence, RI","Kansas City, MO",1564,Metal Roofing Coil,1913.67,2080.12,125.12,0,1955,2045.25,0
9/16/23,"Richmond, VA","Detroit, MI",716,Roofing Membrane Roll,477.5,1077.28,57.28,100,895,837.21,25
12/25/23,"Boston, MA","Dallas, TX",1342,Metal Roofing Coil,2263.14,1859.86,107.36,50,1677.5,1635.33,25
12/10/24,"Philadelphia, PA","San Diego, CA",502,Fasteners and Plates,124.58,742.66,40.16,0,627.5,568.56,75
3/31/24,"Providence, RI","Denver, CO",2187,Fasteners and Plates,169.33,2958.71,174.96,0,2733.75,2788.76,50
2/15/24,"Jacksonville, FL","Milwaukee, WI",1527,Roofing Membrane Roll,563.55,2055.91,122.16,0,1908.75,1938.22,25
10/10/24,"Savannah, GA","St. Louis, MO",1209,Fasteners and Plates,148.68,1657.97,96.72,50,1511.25,1456.27,0
11/14/23,"Richmond, VA","Dallas, TX",887,Drainage Mat,362.76,1179.71,70.96,0,1108.75,1171.37,0
11/7/24,"Newark, NJ","Chicago, IL",1547,Fasteners and Plates,93.3,2132.51,123.76,50,1933.75,1896.68,25
8/13/23,"Richmond, VA","Houston, TX",218,Drainage Mat,570.27,339.94,17.44,50,272.5,294.37,0
8/22/23,"Wilmington, DE","Omaha, NE",1050,Metal Roofing Coil,2358.47,1471.5,84,0,1312.5,1395.93,75
11/14/24,"Hartford, CT","San Diego, CA",654,Metal Roofing Coil,2007.81,869.82,52.32,0,817.5,789.44,0
10/25/24,"Orlando, FL","Dallas, TX",910,Fasteners and Plates,104.97,1385.3,72.8,100,1137.5,1181.97,75
1/9/24,"Wilmington, DE","Portland, OR",1640,Underlayment Roll,264.55,2231.2,131.2,0,2050,2068.73,50
11/2/24,"Raleigh, NC","Omaha, NE",2209,Underlayment Roll,168.18,3062.97,176.72,100,2761.25,2818.38,25
8/30/24,"Wilmington, DE","Salt Lake City, UT",1161,Underlayment Roll,292.77,1594.13,92.88,50,1451.25,1451.38,0
4/16/24,"Orlando, FL","Houston, TX",1673,Drainage Mat,545.33,2275.09,133.84,50,2091.25,2264.5,0
8/21/23,"Tampa, FL","Omaha, NE",211,Insulation Board,636.5,280.63,16.88,0,263.75,258.41,0
11/22/24,"Richmond, VA","Minneapolis, MN",1963,Underlayment Roll,173.82,2760.79,157.04,100,2453.75,2401.91,50
4/23/23,"Tampa, FL","San Diego, CA",1090,Insulation Board,825.19,1599.7,87.2,100,1362.5,1231.22,50
5/11/24,"Orlando, FL","Denver, CO",535,Drainage Mat,372.34,861.55,42.8,100,668.75,611.41,50
3/17/24,"Buffalo, NY","San Diego, CA",914,Insulation Board,597.39,1315.62,73.12,100,1142.5,1042.02,0
7/17/24,"Raleigh, NC","Kansas City, MO",986,Underlayment Roll,243.75,1436.38,78.88,50,1232.5,1150.25,75
9/25/23,"Baltimore, MD","Dallas, TX",1892,Roofing Membrane Roll,402.71,2691.36,151.36,100,2365,2380.26,75
5/24/24,"Richmond, VA","Indianapolis, IN",1643,Drainage Mat,324.52,2235.19,131.44,50,2053.75,2142.53,0
1/21/24,"Charlotte, NC","Phoenix, AZ",2337,Metal Roofing Coil,2483.71,3158.21,186.96,0,2921.25,2934.38,50
1/22/24,"Jacksonville, FL","Salt Lake City, UT",1262,Insulation Board,772.45,1728.46,100.96,0,1577.5,1477.99,50
4/23/23,"Hartford, CT","Omaha, NE",644,Fasteners and Plates,66.03,981.52,51.52,50,805,872.26,75
9/4/24,"Philadelphia, PA","Phoenix, AZ",1998,Fasteners and Plates,122.53,2782.34,159.84,50,2497.5,2522.59,75
9/16/24,"Savannah, GA","Milwaukee, WI",2388,Drainage Mat,410.6,3276.04,191.04,100,2985,3067.38,0
3/22/23,"Newark, NJ","Milwaukee, WI",720,Fasteners and Plates,182.63,1082.6,57.6,100,900,919.98,25
11/29/24,"Tampa, FL","Los Angeles, CA",2399,Insulation Board,644.31,3190.67,191.92,0,2998.75,2840.94,0
4/23/23,"Buffalo, NY","Indianapolis, IN",345,Fasteners and Plates,95.31,558.85,27.6,100,431.25,441.93,0
1/2/23,"Hartford, CT","Portland, OR",780,Underlayment Roll,227.18,1212.4,62.4,100,975,923.37,75
10/3/24,"Richmond, VA","St. Louis, MO",830,Roofing Membrane Roll,645.12,1178.9,66.4,0,1037.5,953.61,75
8/8/23,"Pittsburgh, PA","Salt Lake City, UT",1187,Fasteners and Plates,96.84,1703.71,94.96,100,1483.75,1497.61,25
7/19/24,"Newark, NJ","Indianapolis, IN",1300,Insulation Board,602.75,1729,104,0,1625,1481.5,0
8/13/23,"Savannah, GA","Houston, TX",2026,Fasteners and Plates,198.17,2844.58,162.08,100,2532.5,2631.34,50
1/20/24,"Charlotte, NC","Des Moines, IA",1198,Underlayment Roll,232.82,1668.34,95.84,50,1497.5,1378.93,25
2/7/24,"Newark, NJ","Indianapolis, IN",1390,Underlayment Roll,201.17,1923.7,111.2,0,1737.5,1591.35,75
9/29/24,"Albany, NY","Los Angeles, CA",2122,Metal Roofing Coil,2251.7,2872.26,169.76,0,2652.5,2558.8,50
5/10/23,"Jacksonville, FL","Dallas, TX",907,Fasteners and Plates,101.53,1231.31,72.56,0,1133.75,1138.07,25
